StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1_1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q15,Q16,Q20_1,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,How many programs did you apply to? - Number of Programs,How many interviews did you attend? (in-person and virtual) - Interviews attended,Were you more or less likely to attend an in-person interview?,"Were you more or less likely to continue post interview communication with an in-person interview? (thank you notes, second looks, letters of intent/interest)",Did you notify your #1 program of their ranking?,Did you notify any highly ranked programs of your interest in their program? (Other than #1 ranked program),I felt pressured to send a letter of intent/interest because I felt as though it would improve my rank status with a program and may potentially harm my rank status if I did not,"I felt pressure to send early an early letter of intent/interest, despite not seeing the program in-person, to communicate interest before programs certified their rank lists",A second look experience impacted my rank list enough to where I regretted an early letter of intent/interest,Letters of intent/interest should be discouraged by all programs and/or match leadership,I sent thank you notes to:,I felt pressured to send thank you notes out of fear that I would be viewed unfavorably,All programs and/or match leadership should discourage thank you notes,How many second look invitations did you receive? - Number of second look invitations,How many residency programs assured you that second look attendance had no impact on your rank status with their program?,"Of your second look offers, did any programs require an RSVP?",How many programs required an RSVP deadline for their second look invitation? - Number of second look offers with RSVP requirement,I felt pressured to attend second looks because the RSVP deadline was before programs’ rank list certification date,"I felt pressured to attend second looks because I felt that it would directly impact my rank status with a program, regardless of RSVP deadline",I believe my attendance or absence at a second look would would not impact my rank status with a program,"I fully believe that second look attendance, even with RSVP requirements, had no impact on my rank status with a program",The second look process should have more universal and structured guidelines,All programs and/or match leadership should discourage formalized second looks,My second look experience(s) directly impacted my final rank list,"I was given conflicting advice regarding post interview communication from faculty, residents, and/or mentors",I believe that any form of post interview communication with residency programs impacted my final rank list,Post interview communication causes undue stress during the match process,Which of the following form of post interview communication caused the most amount of stress?,All forms post interview communications between applicant and program should be discouraged before match day,"Please feel free to offer any opinions, perceptions, or comments regarding post interview communication that was not covered in the survey:"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID28""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID23""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID12""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24""}","{""ImportId"":""QID14""}","{""ImportId"":""QID26""}","{""ImportId"":""QID33""}","{""ImportId"":""QID18""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31""}","{""ImportId"":""QID19""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_TEXT""}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-15 13:30:10,2023-02-15 13:33:15,1,100,185,1,2023-02-15 13:33:17,R_21vSJ1si71vNGAu,,,,,33.4979,-86.8125,preview,EN,1,75,22,1,1,1,2,4,,,5,1,5,4,30,1,1,40,5,5,1,1,4,4,,5,4,5,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 07:57:24,2023-03-23 08:00:06,1,100,161,1,2023-03-23 08:00:08,R_295k5jLsC3UAzhm,,,,,33.5203,-86.8092,preview,EN,1,80,22,1,1,1,1,5,5,1,5,1,5,5,10,5,1,10,5,4,1,1,5,4,5,5,4,5,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:16:28,2023-03-23 08:20:32,0,100,243,1,2023-03-23 08:20:33,R_3dMNDdecCyc3vGQ,,,,,33.5203,-86.8092,anonymous,EN,1,80,22,1,1,1,2,5,4,2,5,1,5,1,10,4,1,7,5,5,2,1,5,4,4,5,5,5,3,5,
